alg,i,D,A,j,diff,num_iter,elapsed_ticks
sp,1000000,1000000,1000090,999910,0,1,55
ds,1000000,1000000,999920,1000080,0,1,61
sp,1000000,1000000,999920,1000080,0,1,53
ds,1000000,1000000,999975,1000025,0,1,60
sp,1000000,1000000,999975,1000025,0,1,54
ds,1000000,1000000,999997,1000003,0,1,60
sp,1000000,1000000,999997,1000003,0,1,53
ds,1000000,1000000,999983,1000017,0,1,60
sp,1000000,1000000,999983,1000017,0,1,53
ds,1000000,1000000,1000028,999972,0,1,57
sp,1000000,1000000,1000028,999972,0,1,55
ds,1000000,1000000,1000069,999931,0,1,60
sp,1000000,1000000,1000069,999931,0,1,53
ds,1000000,1000000,1000026,999974,0,1,57
sp,1000000,1000000,1000026,999974,0,1,53
ds,1000000,1000000,1000028,999972,0,1,59
sp,1000000,1000000,1000028,999972,0,1,53
ds,1000000,1000000,1000026,999974,0,1,57
sp,1000000,1000000,1000026,999974,0,1,53
ds,1000000,1000000,1000084,999916,0,1,57
sp,1000000,1000000,1000084,999916,0,1,55
ds,1000000,1000000,1000015,999985,0,1,56
sp,1000000,1000000,1000015,999985,0,1,54
ds,1000000,1000000,999911,1000089,0,1,59
sp,1000000,1000000,999911,1000089,0,1,53
ds,1000000,1000000,999992,1000008,0,1,62
sp,1000000,1000000,999992,1000008,0,1,54
ds,1000000,1000000,1000080,999920,0,1,57
sp,1000000,1000000,1000080,999920,0,1,53
ds,1000000,1000000,1000028,999972,0,1,57
sp,1000000,1000000,1000028,999972,0,1,53
ds,1000000,1000000,1000059,999941,0,1,57
sp,1000000,1000000,1000059,999941,0,1,54
ds,1000000,1000000,1000046,999954,0,1,57
sp,1000000,1000000,1000046,999954,0,1,56
ds,1000000,1000000,999985,1000015,0,1,62
sp,1000000,1000000,999985,1000015,0,1,53
ds,1000000,1000000,1000004,999996,0,1,57
sp,1000000,1000000,1000004,999996,0,1,53
ds,1000000,1000000,1000038,999962,0,1,59
sp,1000000,1000000,1000038,999962,0,1,53
ds,1000000,1000000,999970,1000030,0,1,60
sp,1000000,1000000,999970,1000030,0,1,53
ds,1000000,1000000,999996,1000004,0,1,60
sp,1000000,1000000,999996,1000004,0,1,55
ds,1000000,1000000,1000053,999947,0,1,57
sp,1000000,1000000,1000053,999947,0,1,53
ds,1000000,1000000,1000010,999990,0,1,57
sp,1000000,1000000,1000010,999990,0,1,53
ds,1000000,1000000,1000054,999946,0,1,59
sp,1000000,1000000,1000054,999946,0,1,53
ds,1000000,1000000,999901,1000099,0,1,60
sp,1000000,1000000,999901,1000099,0,1,53
ds,1000000,1000000,1000003,999997,0,1,57
sp,1000000,1000000,1000003,999997,0,1,54
ds,1000000,1000000,1000077,999923,0,1,57
sp,1000000,1000000,1000077,999923,0,1,53
ds,1000000,1000000,999986,1000014,0,1,60
sp,1000000,1000000,999986,1000014,0,1,56
ds,1000000,1000000,1000033,999967,0,1,60
sp,1000000,1000000,1000033,999967,0,1,54
ds,1000000,1000000,1000025,999975,0,1,57
sp,1000000,1000000,1000025,999975,0,1,53
ds,1000000,1000000,999901,1000099,0,1,62
sp,1000000,1000000,999901,1000099,0,1,53
ds,1000000,1000000,999973,1000027,0,1,59
sp,1000000,1000000,999973,1000027,0,1,54
ds,1000000,1000000,999944,1000056,0,1,59
sp,1000000,1000000,999944,1000056,0,1,56
ds,1000000,1000000,1000080,999920,0,1,57
